search_space_id,param,search_space
1,loss,"[""bpr-max"", ""cross-entropy""]"
1,constrained_embedding,"[false, true]"
1,embedding,"[0, 64]"
1,elu_param,"[0.5, 1, 0]"
1,layers,"[64, 64]"
1,n_epochs,"[5, 7, 10, 15]"
1,batch_size,"[128, 512]"
1,dropout_p_embed,"[0.0, 0.5]"
1,dropout_p_hidden,"[0.0, 0.7]"
1,learning_rate,"[0.0001, 0.05]"
1,momentum,"[0.0, 0.9]"
1,n_sample,"[256, 512, 1024, 2048]"
1,sample_alpha,"[0.0, 1.0]"
1,bpreg,"[0.0, 2.0]"
1,logq,"[0.0, 1.0]"
2,loss,"[""bpr-max"", ""cross-entropy""]"
2,constrained_embedding,"[false, true]"
2,embedding,"[0, 64]"
2,elu_param,"[0.5, 1, 0]"
2,layers,"[64, 64]"
2,n_epochs,"[5, 7]"
2,batch_size,"[256, 512]"
2,dropout_p_embed,"[0.0, 0.5]"
2,dropout_p_hidden,"[0.0, 0.7]"
2,learning_rate,"[0.0001, 0.05]"
2,momentum,"[0.0, 0.9]"
2,n_sample,"[256, 512, 1024, 2048]"
2,sample_alpha,"[0.0, 1.0]"
2,bpreg,"[0.0, 2.0]"
2,logq,"[0.0, 1.0]"
3,loss,"[""bpr-max"", ""cross-entropy""]"
3,constrained_embedding,"[false, true]"
3,embedding,"[0, 64]"
3,elu_param,"[0.5, 1, 0]"
3,layers,"[64, 64]"
3,n_epochs,"[5, 7, 10]"
3,batch_size,"[256, 512]"
3,dropout_p_embed,"[0.0, 0.5]"
3,dropout_p_hidden,"[0.0, 0.7]"
3,learning_rate,"[0.0001, 0.05]"
3,momentum,"[0.0, 0.9]"
3,n_sample,"[256, 512, 1024, 2048]"
3,sample_alpha,"[0.0, 1.0]"
3,bpreg,"[0.0, 2.0]"
3,logq,"[0.0, 1.0]"
4,loss,"[""bpr-max"", ""cross-entropy""]"
4,constrained_embedding,"[false, true]"
4,embedding,"[0, 64]"
4,elu_param,"[0.5, 1, 0]"
4,layers,"[64, 64]"
4,n_epochs,"[5, 7, 10, 15]"
4,batch_size,"[128, 512]"
4,dropout_p_embed,"[0.0, 0.5]"
4,dropout_p_hidden,"[0.0, 0.7]"
4,learning_rate,"[0.0001, 0.05]"
4,momentum,"[0.0, 0.9]"
4,n_sample,"[256, 512, 1024, 2048]"
4,sample_alpha,"[0.0, 1.0]"
4,bpreg,"[0.0, 2.0]"
4,logq,"[0.0, 1.0]"
