,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_l2_regularization,params_learning_rate,params_momentum,params_num_epoch,params_rmsprop_alpha,state,acc,recall,f1,bacc,search_space_id
0,0,0.6360151357066749,2024-09-14 21:47:06.867567,2024-09-14 21:56:41.253227,0 days 00:09:34.385660,2048,0.000589589832094,0.0001222624775475,0.35,100,1.0,COMPLETE,0.6429733880395168,0.7785749965941601,0.6360151357066749,0.6416710954460201,1.0
1,1,0.5170408113393513,2024-09-14 21:56:41.292401,2024-09-14 22:06:37.240553,0 days 00:09:55.948152,1024,0.0031372722664291,1.2846102001385188e-05,0.0,100,0.7,COMPLETE,0.526692186031586,0.6664547477407928,0.5170408113393513,0.5253499324189478,1.0
2,2,0.5400855928279016,2024-09-14 22:06:37.278480,2024-09-14 22:09:46.158109,0 days 00:03:08.879629,1024,3.399119967333602e-05,2.0648001215191064e-05,0.55,30,0.8,COMPLETE,0.5432874137575354,0.6256300803778212,0.5400855928279016,0.5424966101231881,1.0
3,3,0.555554699530565,2024-09-14 22:09:46.197290,2024-09-14 22:12:56.177007,0 days 00:03:09.979717,1024,0.0007059708237276,7.21225243697236e-05,0.45,30,0.8,COMPLETE,0.5658880968207761,0.7162708323872667,0.555554699530565,0.5644438490363622,1.0
4,4,0.6439174944691616,2024-09-14 22:12:56.211751,2024-09-14 22:24:22.332948,0 days 00:11:26.121197,512,0.0004962405521194,9.37101147749824e-05,0.55,100,0.4,COMPLETE,0.6515919040960872,0.7955587847963308,0.6439174944691616,0.6502092729868907,1.0
5,5,,2024-09-14 22:24:23.656117,2024-09-14 22:26:22.168857,0 days 00:01:58.512740,256,0.0001279030293176,4.5033210180559535e-05,0.2,50,0.8,FAIL,,,,,
6,6,0.6598494803353153,2024-09-14 22:37:41.005321,2024-09-14 22:42:28.642081,0 days 00:04:47.636760,256,3.026170943452873e-05,0.0003739314997584,0.4,30,0.7,COMPLETE,0.6624567355078277,0.7477407928795241,0.6598494803353153,0.6616376833045219,3.0
7,7,0.6275445903552663,2024-09-14 22:47:10.009447,2024-09-14 22:52:10.204689,0 days 00:05:00.195242,1024,2.526741470839936e-05,0.0001038635522467,0.25,50,0.5,COMPLETE,0.6293121232264424,0.6964715498842015,0.6275445903552663,0.6286671366008992,4.0
8,8,0.6519253783446355,2024-09-14 22:52:10.246843,2024-09-14 22:59:52.551732,0 days 00:07:42.304889,256,0.0006037521824903,0.0005823265791183,0.55,50,0.4,COMPLETE,0.6571847708987554,0.7774851278325235,0.6519253783446355,0.6560294286760507,4.0
9,9,0.5849949520349631,2024-09-14 22:59:52.590245,2024-09-14 23:04:54.902884,0 days 00:05:02.312639,1024,0.000169471516112,3.833385380334678e-05,0.0,50,0.8,COMPLETE,0.5894973296353175,0.6918850188456473,0.5849949520349631,0.5885140173372919,4.0
10,10,0.6565501438348816,2024-09-14 23:04:54.939019,2024-09-14 23:10:55.719552,0 days 00:06:00.780533,512,0.0002167237759744,0.0002334925718342,0.7000000000000001,50,0.7,COMPLETE,0.6613106562449859,0.7764406702692884,0.6565501438348816,0.6602049690326355,4.0
11,11,0.6451357408853841,2024-09-14 23:10:55.755181,2024-09-14 23:15:43.574522,0 days 00:04:47.819341,256,1.233272853915947e-05,0.0008784245717154,0.9,30,1.0,COMPLETE,0.6523941595800765,0.7926070569002316,0.6451357408853841,0.6510475810281033,4.0
12,12,0.663359663118175,2024-09-14 23:17:49.060496,2024-09-14 23:21:31.991851,0 days 00:03:42.931355,512,8.400584873492367e-05,0.0003208416119525,0.8,30,0.6000000000000001,COMPLETE,0.6646113645219703,0.7236274465283139,0.663359663118175,0.6640445850618057,5.0
13,13,0.6633076221089418,2024-09-14 23:21:32.031496,2024-09-14 23:25:14.766916,0 days 00:03:42.735420,512,8.735648450570405e-05,0.0002877867624478,0.9,30,0.6000000000000001,COMPLETE,0.6654594631764733,0.7431996730393715,0.6633076221089418,0.6647128606796413,5.0
14,14,0.6628220858495576,2024-09-14 23:26:39.946558,2024-09-14 23:30:25.204244,0 days 00:03:45.257686,512,0.0001152408000817,0.0002366347855844,0.9,30,0.5,COMPLETE,0.6658720517110963,0.7585940692974887,0.6628220858495576,0.6649815667231682,6.0
15,15,0.6578337637490069,2024-09-14 23:30:25.242739,2024-09-14 23:34:08.505720,0 days 00:03:43.262981,512,7.26034852344188e-05,0.0003032688129175,0.75,30,0.6000000000000001,COMPLETE,0.6621816764847457,0.7723536624131511,0.6578337637490069,0.6611236052508225,6.0
16,16,0.6606301751038545,2024-09-14 23:36:07.031399,2024-09-14 23:39:47.312812,0 days 00:03:40.281413,512,0.0041139277081601,0.0004944711254528,0.8,30,0.3,COMPLETE,0.6606459302725376,0.6673629717088234,0.6606301751038545,0.660581421057596,7.0
17,17,0.6070793950414723,2024-09-14 23:39:47.352958,2024-09-14 23:43:00.735117,0 days 00:03:13.382159,2048,7.281087044707727e-05,0.0001686111614342,0.65,30,0.6000000000000001,COMPLETE,0.6083159511311802,0.6630489078606785,0.6070793950414723,0.6077903060084657,7.0
18,18,0.6527271299354303,2024-09-15 14:15:21.610918,2024-09-15 14:19:11.708519,0 days 00:03:50.097601,512,5.798986436033205e-05,0.0009681455532682,0.8,30,0.5,COMPLETE,0.6560157700506567,0.7510103991644339,0.6527271299354303,0.655103459324881,8.0
19,19,0.5455902052729,2024-09-15 14:19:11.748963,2024-09-15 14:22:53.360355,0 days 00:03:41.611392,512,0.0013853781063024,5.052837640753483e-05,0.9,30,0.9000000000000001,COMPLETE,0.5552524812616041,0.6991508105898915,0.5455902052729,0.5538705085070165,8.0
20,20,0.6587558674169136,2024-09-15 18:13:43.170033,2024-09-15 18:25:16.595633,0 days 00:11:33.425600,512,1.038653630399021e-05,0.00018421908147661734,0.65,100,0.6000000000000001,COMPLETE,0.661012675636647,0.7401571227464693,0.6587558674169136,0.6602525871068272,9.0
21,21,0.6592061537250461,2024-09-15 18:25:16.636268,2024-09-15 18:28:27.326579,0 days 00:03:10.690311,2048,0.00023247162313783164,0.0005339204040127315,0.2,30,0.3,COMPLETE,0.6625255002635982,0.7588211252894964,0.6592061537250461,0.661600695015386,9.0
